Name,ProfilePicture,TournamentName,TournamentLink,Placement,Wins,Losses,Draws,DeckLink,LeaguePlayer,Points
Jakub Vojta,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,1.0,7.0,0.0,2.0,https://www.mtgtop8.com/event?e=73711&d=759194&f=EDH,False,100
Miroslav Kalina,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,2.0,7.0,2.0,0.0,https://www.mtgtop8.com/event?e=73711&d=759195&f=EDH,False,92
Vojtěch Lavička,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,3.0,6.0,2.0,0.0,https://www.mtgtop8.com/event?e=73711&d=759197&f=EDH,False,88
Jenda Hurt,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,4.0,5.0,1.0,2.0,https://www.mtgtop8.com/event?e=73711&d=759196&f=EDH,False,85
Michal Hrubý,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,5.0,5.0,2.0,0.0,https://www.mtgtop8.com/event?e=73711&d=759198&f=EDH,False,82
Ladislav Majer,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,6.0,5.0,2.0,0.0,https://www.mtgtop8.com/event?e=73711&d=759199&f=EDH,False,80
Jiří Obraz,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,7.0,4.0,1.0,2.0,https://www.mtgtop8.com/event?e=73711&d=759200&f=EDH,False,78
Dung Nguyen,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,8.0,4.0,1.0,2.0,https://www.mtgtop8.com/event?e=73711&d=759201&f=EDH,False,76
Marek Majer,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,9.0,4.0,2.0,0.0,,False,74
Tomáš Hanousek,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,10.0,4.0,2.0,0.0,,False,72
Vratislav Drábek,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,11.0,4.0,2.0,0.0,,False,70
David Štěpánek,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,12.0,4.0,2.0,0.0,,False,69
Franta Skakun,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,13.0,4.0,2.0,0.0,,False,68
Kryštof Nuc,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,14.0,4.0,2.0,0.0,,False,67
Sebastian Jacques,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,15.0,4.0,2.0,0.0,,False,66
David Bohuslav,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,16.0,4.0,2.0,0.0,,False,65
Zbyněk Barták,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,17.0,4.0,2.0,0.0,,False,64
Dominik masik,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,18.0,4.0,2.0,0.0,,False,63
Sam Boscq,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,19.0,4.0,2.0,0.0,,False,62
František Vitula,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,20.0,4.0,2.0,0.0,,False,61
Dan Petrok,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,21.0,4.0,2.0,0.0,,False,60
Jan Stádník,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,22.0,3.0,3.0,0.0,,False,59
Dung Nguyen Tien,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,23.0,3.0,3.0,0.0,,False,58
Václav Peltan,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,24.0,3.0,3.0,0.0,,False,57
Ondrěj Vitula,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,25.0,3.0,3.0,0.0,,False,56
Nolaac Vivnil,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,26.0,3.0,3.0,0.0,,False,55
Jířa Joska,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,27.0,3.0,3.0,0.0,,False,54
Marek Voráček,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,28.0,3.0,3.0,0.0,,False,53
David Ottomansky,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,29.0,3.0,3.0,0.0,,False,52
Florian Aime,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,30.0,3.0,3.0,0.0,,False,51
Jakub Pardubsky,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,31.0,3.0,3.0,0.0,,False,40
Milan Kopáček,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,32.0,3.0,3.0,0.0,,False,40
Jan Bizon,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,33.0,3.0,3.0,0.0,,False,40
Roman Legiň,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,34.0,3.0,3.0,0.0,,False,40
sam clark,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,35.0,3.0,3.0,0.0,,False,40
Michal Matoušek,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,36.0,3.0,3.0,0.0,,False,40
Stanislav Beneš,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,37.0,3.0,3.0,0.0,,False,40
Jiří Peltan,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,38.0,3.0,3.0,0.0,,False,40
Dominik Hakl,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,39.0,3.0,3.0,0.0,,False,40
Tomáš Fridrich,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,40.0,3.0,3.0,0.0,,False,40
Morozko,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,41.0,3.0,3.0,0.0,,False,30
Jan Klimeš,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,42.0,2.0,4.0,0.0,,False,30
Pavel Ovčáčík,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,43.0,2.0,4.0,0.0,,False,30
Jan Vimmer,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,44.0,2.0,4.0,0.0,,False,30
Matthew Grygar,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,45.0,2.0,4.0,0.0,,False,30
Václav Hrdlička,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,46.0,2.0,4.0,0.0,,False,30
Jakub Petřík,,Grail 1,https://www.mtgtop8.com/event?e=73711&f=EDH,47.0,2.0,4.0,0.0,,False,30
